cnt,t1,hum,wind_speed,weather_code,is_holiday,is_weekend,season,hour
73,8.0,76.0,8.0,4,0,0,3,1
33,8.0,76.0,11.0,4,0,0,3,2
19,8.0,76.0,14.0,4,0,0,3,3
40,8.5,73.5,11.0,4,0,0,3,4
74,8.0,82.0,14.0,4,0,0,3,5
530,8.0,84.5,15.0,3,0,0,3,6
1715,9.0,82.0,13.0,3,0,0,3,7
3534,9.0,82.0,12.0,7,0,0,3,8
1573,9.0,87.0,16.0,7,0,0,3,9
635,10.0,88.0,19.5,3,0,0,3,10
550,10.0,88.0,18.0,3,0,0,3,11
395,11.0,85.0,19.0,7,0,0,3,12
426,9.5,84.5,27.5,3,0,0,3,13
579,9.0,71.0,26.0,3,0,0,3,14
718,8.0,71.0,23.0,2,0,0,3,15
1184,8.0,68.5,19.5,2,0,0,3,16
2662,7.5,71.0,22.0,1,0,0,3,17
2610,7.0,71.0,17.5,1,0,0,3,18
1402,6.0,76.0,15.0,1,0,0,3,19
720,5.5,78.5,15.0,1,0,0,3,20
494,5.0,81.0,15.0,1,0,0,3,21
344,4.5,81.0,13.0,1,0,0,3,22
212,4.0,84.0,12.0,1,0,0,3,23
102,4.0,81.0,12.0,1,0,0,3,0
60,4.0,81.0,11.0,1,0,0,3,1
33,4.0,81.0,10.0,1,0,0,3,2
26,3.5,84.0,9.0,2,0,0,3,3
33,4.0,81.0,10.0,2,0,0,3,4
80,4.0,87.0,9.0,1,0,0,3,5
526,5.0,81.0,10.0,1,0,0,3,6
1757,5.5,81.0,13.0,1,0,0,3,7
3618,6.5,81.0,15.0,2,0,0,3,8
1714,8.0,76.0,19.0,3,0,0,3,9
763,8.0,82.0,19.5,2,0,0,3,10
690,9.0,76.0,21.0,2,0,0,3,11
913,9.0,76.0,27.0,2,0,0,3,12
982,9.5,71.5,28.0,2,0,0,3,13
783,10.0,62.0,28.5,2,0,0,3,14
794,9.0,68.5,25.0,2,0,0,3,15
1171,9.0,76.0,25.0,3,0,0,3,16
2647,9.5,71.5,24.0,3,0,0,3,17
2579,10.0,71.0,30.0,3,0,0,3,18
657,10.0,79.0,30.5,3,0,0,3,20
516,10.0,82.0,27.0,7,0,0,3,21
414,10.0,82.0,27.0,7,0,0,3,22
206,10.0,85.0,24.0,7,0,0,3,23
123,11.0,82.0,26.0,4,0,0,3,0
56,11.5,85.0,24.0,3,0,0,3,1
51,12.0,82.0,25.0,3,0,0,3,2
33,12.0,85.0,22.0,3,0,0,3,3
32,12.0,88.0,20.5,7,0,0,3,4
87,12.0,80.0,20.5,7,0,0,3,5
511,11.5,74.5,17.0,3,0,0,3,6
982,10.5,82.5,17.0,7,0,0,3,7
1228,9.5,87.5,14.0,7,0,0,3,8
573,9.0,87.0,13.0,7,0,0,3,9
185,9.0,87.0,14.0,7,0,0,3,10
193,9.0,82.0,20.5,7,0,0,3,11
522,9.0,84.5,17.0,2,0,0,3,12
672,9.0,79.0,27.0,2,0,0,3,13
761,10.0,71.0,22.0,2,0,0,3,14
781,9.0,71.0,22.0,2,0,0,3,15
1212,9.0,71.0,19.5,2,0,0,3,16
2351,9.0,76.0,22.0,2,0,0,3,17
2110,8.5,73.5,22.5,1,0,0,3,18
1239,8.0,73.5,20.5,1,0,0,3,19
752,8.0,76.0,17.0,1,0,0,3,20
457,8.0,76.0,20.5,1,0,0,3,21
423,8.5,73.5,21.0,1,0,0,3,22
267,9.0,76.0,27.0,2,0,0,3,23
147,10.0,71.0,28.0,2,0,0,3,0
60,10.0,73.5,30.0,7,0,0,3,1
65,10.0,79.0,29.5,7,0,0,3,2
42,11.0,79.5,29.0,3,0,0,3,3
47,11.0,85.0,33.0,3,0,0,3,4
85,11.5,85.0,33.0,3,0,0,3,5
441,12.0,82.0,32.5,3,0,0,3,6
1593,12.0,82.0,31.5,3,0,0,3,7
3505,12.0,79.5,25.0,2,0,0,3,8
1768,12.0,74.5,30.0,2,0,0,3,9
799,12.5,69.5,29.5,1,0,0,3,10
806,13.0,67.0,28.0,1,0,0,3,11
1052,13.0,67.0,26.0,1,0,0,3,12
1078,13.0,63.0,30.0,1,0,0,3,13
976,13.0,63.0,26.0,2,0,0,3,14
912,13.5,67.5,33.5,7,0,0,3,15
1229,13.0,79.5,37.0,7,0,0,3,16
2409,13.5,85.0,35.0,7,0,0,3,17
1983,15.0,82.0,36.0,7,0,0,3,18
1094,15.5,77.0,41.0,7,0,0,3,19
686,15.0,72.0,44.0,3,0,0,3,20
443,15.0,68.0,41.0,3,0,0,3,21
464,15.0,68.0,40.0,3,0,0,3,22
420,14.0,77.0,41.5,4,0,0,3,23
392,14.0,77.0,39.0,4,0,1,3,0
277,14.0,77.0,40.0,4,0,1,3,1
189,14.0,72.0,40.5,3,0,1,3,2
153,13.0,77.0,41.0,3,0,1,3,3
90,13.0,77.0,36.0,3,0,1,3,4
52,13.0,77.0,35.0,3,0,1,3,5
69,13.0,82.0,35.0,7,0,1,3,6
143,13.0,79.5,35.0,3,0,1,3,7
321,14.0,74.5,40.0,3,0,1,3,8
619,14.0,77.0,48.0,3,0,1,3,9
757,14.0,74.5,41.0,7,0,1,3,10
800,11.5,67.5,42.5,3,0,1,3,11
1191,11.5,58.0,41.5,2,0,1,3,12
1395,10.5,54.0,38.0,3,0,1,3,13
1358,9.0,54.0,42.5,3,0,1,3,14
1436,9.0,48.0,35.0,2,0,1,3,15
1270,8.0,51.5,27.0,1,0,1,3,16
1054,8.0,51.5,29.0,2,0,1,3,17
849,7.0,55.0,26.0,1,0,1,3,18
720,6.0,57.0,26.0,1,0,1,3,19
556,6.0,57.0,25.0,1,0,1,3,20
349,6.0,57.0,21.0,1,0,1,3,21
335,5.0,66.0,20.0,1,0,1,3,22
334,5.0,66.0,19.5,1,0,1,3,23
360,4.5,72.5,22.0,1,0,1,3,0
255,4.0,75.0,22.0,1,0,1,3,1
198,4.0,75.0,23.0,1,0,1,3,2
135,4.0,75.0,27.0,2,0,1,3,3
74,4.0,72.5,28.0,1,0,1,3,4
57,4.0,70.0,27.0,1,0,1,3,5
67,4.5,68.0,24.0,1,0,1,3,6
93,5.0,66.0,24.0,1,0,1,3,7
241,5.0,66.0,29.5,1,0,1,3,8
538,5.5,63.5,29.0,1,0,1,3,9
922,6.5,61.0,30.0,1,0,1,3,10
1248,7.5,59.0,27.0,1,0,1,3,11
1555,8.5,55.5,27.0,1,0,1,3,12
1813,9.0,56.0,28.0,2,0,1,3,13
1639,9.0,60.0,28.0,2,0,1,3,14
1464,8.5,64.0,26.0,3,0,1,3,15
1097,8.0,66.0,23.0,3,0,1,3,16
827,8.0,71.0,20.5,7,0,1,3,17
519,8.0,73.5,25.0,7,0,1,3,18
493,8.0,73.5,24.0,3,0,1,3,19
315,8.0,71.0,26.0,7,0,1,3,20
260,8.0,71.0,30.0,7,0,1,3,21
237,9.0,66.0,37.0,7,0,1,3,22
168,9.0,71.0,30.5,3,0,1,3,23
117,9.0,68.5,29.0,2,0,0,3,0
45,10.0,60.0,34.0,4,0,0,3,1
29,10.0,64.5,30.0,4,0,0,3,2
36,10.0,67.0,30.5,3,0,0,3,3
26,10.0,67.0,33.5,3,0,0,3,4
86,10.0,67.0,35.0,3,0,0,3,5
433,10.0,73.5,31.0,7,0,0,3,6
1541,10.0,76.0,30.0,7,0,0,3,7
3418,10.0,76.0,31.0,3,0,0,3,8
1832,11.5,67.0,32.5,3,0,0,3,9
723,12.0,67.0,33.0,3,0,0,3,10
654,12.0,74.5,39.0,3,0,0,3,11
700,12.0,79.5,29.5,3,0,0,3,12
631,12.0,79.5,29.5,3,0,0,3,13
520,12.5,77.0,33.0,7,0,0,3,14
374,12.0,82.0,25.0,7,0,0,3,15
669,12.0,82.0,22.5,7,0,0,3,16
1510,11.5,88.0,22.0,7,0,0,3,17
1186,11.0,94.0,22.0,7,0,0,3,18
1136,11.5,85.0,22.0,7,0,0,3,19
753,12.0,82.0,20.0,4,0,0,3,20
510,12.0,85.0,18.5,7,0,0,3,21
184,12.0,88.0,21.0,7,0,0,3,22
86,12.0,88.0,23.0,7,0,0,3,23
64,12.0,88.0,25.0,7,0,0,3,0
29,12.0,88.0,30.0,7,0,0,3,1
21,11.5,88.0,24.5,7,0,0,3,2
13,11.0,85.0,19.0,7,0,0,3,3
33,11.0,82.0,21.0,7,0,0,3,4
113,10.5,79.5,21.0,7,0,0,3,5
600,10.0,82.0,20.5,2,0,0,3,6
1584,9.5,79.0,21.0,7,0,0,3,7
3960,9.0,71.0,16.0,2,0,0,3,8
2090,9.0,71.0,18.0,2,0,0,3,9
960,9.0,71.0,17.5,1,0,0,3,10
866,9.0,68.5,18.0,2,0,0,3,11
1019,9.5,64.0,20.5,7,0,0,3,12
719,9.0,73.5,27.5,7,0,0,3,13
811,8.5,71.0,29.0,7,0,0,3,14
883,8.0,73.5,21.5,2,0,0,3,15
1391,7.5,68.5,23.0,2,0,0,3,16
2886,7.0,71.0,22.0,2,0,0,3,17
2659,7.0,71.0,14.0,7,0,0,3,18
1548,6.0,76.0,19.5,7,0,0,3,19
947,5.5,76.0,21.0,2,0,0,3,20
660,5.0,76.0,23.0,2,0,0,3,21
501,5.0,76.0,17.0,1,0,0,3,22
340,5.0,70.0,19.5,1,0,0,3,23
168,5.0,66.0,26.0,1,0,0,3,0
79,5.0,66.0,30.0,1,0,0,3,1
60,5.0,66.0,24.0,1,0,0,3,2
54,4.5,72.5,21.0,1,0,0,3,3
44,4.5,72.5,14.0,1,0,0,3,4
93,5.0,70.0,17.5,1,0,0,3,5
560,5.0,70.0,23.0,3,0,0,3,6
1820,4.5,68.0,30.5,2,0,0,3,7
3904,4.0,70.0,26.0,2,0,0,3,8
2064,4.5,68.0,29.0,2,0,0,3,9
841,5.0,70.0,30.5,2,0,0,3,10
732,5.5,65.5,27.0,2,0,0,3,11
1013,6.5,59.0,27.0,2,0,0,3,12
1066,7.0,57.0,24.0,2,0,0,3,13
913,7.0,55.0,22.0,2,0,0,3,14
969,7.0,55.0,18.0,1,0,0,3,15
1365,7.0,59.0,16.0,1,0,0,3,16
2638,7.5,64.0,16.0,2,0,0,3,17
1974,8.0,71.0,21.5,2,0,0,3,18
1254,9.0,71.0,27.0,3,0,0,3,19
885,10.0,69.0,31.0,3,0,0,3,20
537,10.0,71.0,38.0,7,0,0,3,21
344,9.5,76.5,39.0,7,0,0,3,22
188,10.0,79.0,40.0,26,0,0,3,23
91,10.0,82.0,40.0,7,0,0,3,0
66,11.0,79.5,40.0,26,0,0,3,1
25,11.0,82.0,44.5,26,0,0,3,2
23,11.5,79.5,45.0,7,0,0,3,3
23,11.0,77.0,37.0,26,0,0,3,4
62,10.0,79.0,31.5,7,0,0,3,5
481,9.5,73.5,29.5,7,0,0,3,6
1692,9.0,73.5,23.0,2,0,0,3,7
3673,9.0,66.0,21.0,1,0,0,3,8
1941,9.0,73.5,19.5,2,0,0,3,9
844,9.0,76.0,21.0,2,0,0,3,10
729,9.0,66.0,26.0,2,0,0,3,11
835,8.5,71.0,25.0,7,0,0,3,12
1005,9.0,64.0,32.5,2,0,0,3,13
828,9.0,60.0,30.5,2,0,0,3,14
912,9.0,52.0,36.0,2,0,0,3,15
1249,8.0,53.0,29.0,2,0,0,3,16
2524,7.5,55.0,29.5,2,0,0,3,17
2480,7.0,57.0,29.5,2,0,0,3,18
1353,8.0,51.5,29.5,2,0,0,3,19
810,7.0,51.0,34.0,2,0,0,3,20
591,6.5,57.0,32.0,1,0,0,3,21
430,6.5,59.0,33.0,2,0,0,3,22
301,7.0,57.0,29.5,1,0,0,3,23
208,7.0,53.0,31.0,1,0,0,3,0
117,7.0,53.0,27.5,1,0,0,3,1
71,6.5,59.0,22.0,1,0,0,3,2
59,6.5,59.0,25.0,1,0,0,3,3
46,6.5,55.0,20.5,1,0,0,3,4
88,6.5,55.0,20.5,1,0,0,3,5
471,7.0,55.0,18.5,1,0,0,3,6
1648,7.0,59.0,15.0,7,0,0,3,7
3546,7.0,61.0,15.0,3,0,0,3,8
1980,6.0,71.0,13.0,2,0,0,3,9
878,6.5,68.5,17.0,2,0,0,3,10
795,6.0,76.0,19.5,2,0,0,3,11
994,6.0,73.5,17.0,2,0,0,3,12
1122,7.0,68.5,15.0,2,0,0,3,13
941,7.0,66.0,15.0,2,0,0,3,14
1104,7.0,66.0,15.0,2,0,0,3,15
1149,6.0,68.5,23.5,7,0,0,3,16
2348,5.5,76.0,14.0,2,0,0,3,17
2002,5.0,73.0,16.0,3,0,0,3,18
1183,4.0,72.5,12.0,1,0,0,3,19
693,4.0,72.5,9.0,1,0,0,3,20
473,3.0,75.0,11.0,1,0,0,3,21
386,2.5,72.5,15.0,1,0,0,3,22
361,2.5,81.0,12.0,1,0,0,3,23
328,2.0,81.0,13.0,1,0,1,3,0
220,2.0,81.0,12.0,1,0,1,3,1
199,1.0,81.0,14.0,1,0,1,3,2
144,1.0,81.0,15.0,1,0,1,3,3
76,1.0,81.0,10.0,1,0,1,3,4
68,0.5,77.5,8.0,1,0,1,3,5
70,0.5,77.5,10.0,1,0,1,3,6
154,1.5,72.5,16.0,1,0,1,3,7
350,2.5,67.5,15.0,1,0,1,3,8
682,3.5,65.0,16.0,1,0,1,3,9
784,4.0,70.0,21.0,7,0,1,3,10
998,5.0,73.0,18.5,7,0,1,3,11
1360,6.5,73.5,17.0,2,0,1,3,12
1421,6.0,73.5,20.5,2,0,1,3,13
1531,7.0,66.0,17.0,2,0,1,3,14
1527,6.0,71.0,18.0,1,0,1,3,15
1257,6.0,71.0,15.0,1,0,1,3,16
997,5.0,76.0,10.0,1,0,1,3,17
765,5.0,76.0,13.0,1,0,1,3,18
719,5.0,76.0,12.0,1,0,1,3,19
525,5.0,81.0,9.0,1,0,1,3,20
415,5.0,76.0,10.0,1,0,1,3,21
328,5.0,76.0,7.0,2,0,1,3,22
350,5.0,78.5,9.0,7,0,1,3,23
383,5.0,76.0,7.0,2,0,1,3,0
268,5.0,76.0,6.5,7,0,1,3,1
268,5.0,81.0,8.0,7,0,1,3,2
140,4.5,84.0,6.5,7,0,1,3,3
73,4.0,87.0,0.0,7,0,1,3,4
53,4.0,90.0,5.0,7,0,1,3,5
54,4.0,90.0,5.0,7,0,1,3,6
97,4.0,87.0,5.0,7,0,1,3,7
210,4.0,93.0,5.0,2,0,1,3,8
406,4.0,90.0,6.5,7,0,1,3,9
693,4.0,87.0,9.0,7,0,1,3,10
906,4.0,84.0,9.0,4,0,1,3,11
1244,4.0,81.0,12.0,2,0,1,3,12
1401,4.0,81.0,12.0,2,0,1,3,13
1313,4.0,75.0,14.0,2,0,1,3,14
1450,4.0,75.0,13.0,2,0,1,3,15
1111,3.0,81.0,6.0,2,0,1,3,16
844,3.0,81.0,4.0,1,0,1,3,17
694,2.0,87.0,6.5,1,0,1,3,18
510,2.0,87.0,8.0,1,0,1,3,19
370,1.5,87.0,5.5,1,0,1,3,20
265,1.0,87.0,4.0,1,0,1,3,21
249,1.0,87.0,4.0,1,0,1,3,22
197,0.5,90.0,6.0,1,0,1,3,23
128,0.0,93.0,8.0,1,0,0,3,0
57,0.5,93.0,8.0,2,0,0,3,1
30,1.0,93.0,5.5,2,0,0,3,2
32,0.5,93.0,3.5,2,0,0,3,3
36,0.5,93.0,4.5,3,0,0,3,4
88,1.0,93.0,6.5,3,0,0,3,5
472,1.0,90.0,7.0,3,0,0,3,6
1695,1.0,90.0,6.5,2,0,0,3,7
3554,2.0,84.0,7.5,3,0,0,3,8
1828,2.0,87.0,8.0,3,0,0,3,9
794,3.0,75.0,7.5,2,0,0,3,10
688,3.5,72.5,3.0,2,0,0,3,11
923,4.0,70.0,9.0,2,0,0,3,12
913,4.0,70.0,8.0,2,0,0,3,13
815,5.0,66.0,7.5,3,0,0,3,14
908,5.0,63.5,6.0,3,0,0,3,15
1257,4.0,67.5,6.5,3,0,0,3,16
2774,3.5,72.5,6.0,2,0,0,3,17
2543,3.5,72.5,6.0,3,0,0,3,18
1442,3.5,72.5,7.0,3,0,0,3,19
893,3.0,75.0,6.5,3,0,0,3,20
561,2.5,78.0,5.5,3,0,0,3,21
356,2.0,75.0,3.0,2,0,0,3,22
247,2.0,81.0,2.0,3,0,0,3,23
85,1.0,87.0,3.0,3,0,0,3,0
49,0.5,90.0,6.5,1,0,0,3,1
40,0.0,93.0,3.0,1,0,0,3,2
18,-0.5,90.0,4.0,1,0,0,3,3
32,-1.0,93.0,3.0,1,0,0,3,4
80,-0.5,93.0,4.0,2,0,0,3,5
520,-1.0,93.0,5.0,1,0,0,3,6
1791,-1.0,96.5,6.5,1,0,0,3,7
3700,-0.5,96.5,7.0,1,0,0,3,8
1818,0.0,93.0,9.0,1,0,0,3,9
806,1.0,87.0,5.0,2,0,0,3,10
636,2.5,78.0,6.0,2,0,0,3,11
894,3.5,78.0,9.0,1,0,0,3,12
966,4.5,72.5,9.0,2,0,0,3,13
806,5.0,68.0,11.0,2,0,0,3,14
897,4.0,75.0,13.0,2,0,0,3,15
1287,4.0,78.0,13.0,3,0,0,3,16
2683,4.0,78.0,12.0,1,0,0,3,17
2624,4.0,75.0,12.0,1,0,0,3,18
1448,4.0,72.5,13.0,1,0,0,3,19
758,4.0,70.0,14.0,2,0,0,3,20
603,4.0,70.0,16.0,2,0,0,3,21
447,4.0,70.0,17.5,1,0,0,3,22
259,4.0,70.0,18.5,4,0,0,3,23
151,3.5,72.5,18.0,4,0,0,3,0
70,3.0,81.0,18.5,4,0,0,3,1
56,3.0,81.0,19.0,3,0,0,3,2
24,3.0,81.0,17.0,4,0,0,3,3
41,3.0,84.0,16.0,7,0,0,3,4
81,3.0,87.0,14.0,7,0,0,3,5
522,3.0,87.0,18.0,7,0,0,3,6
1656,3.0,87.0,18.0,3,0,0,3,7
3655,3.0,87.0,18.0,3,0,0,3,8
1976,3.0,87.0,18.0,3,0,0,3,9
821,3.0,87.0,17.0,3,0,0,3,10
666,3.0,87.0,16.0,3,0,0,3,11
805,3.0,87.0,17.0,7,0,0,3,12
821,3.5,84.0,16.0,3,0,0,3,13
701,3.0,87.0,17.0,4,0,0,3,14
759,3.0,87.0,18.0,4,0,0,3,15
1217,3.0,87.0,16.0,4,0,0,3,16
2503,3.0,84.0,14.0,4,0,0,3,17
2511,3.0,87.0,11.0,4,0,0,3,18
1359,3.0,87.0,13.0,7,0,0,3,19
890,3.0,81.0,9.0,4,0,0,3,20
666,3.0,81.0,6.0,4,0,0,3,21
480,3.0,81.0,6.0,3,0,0,3,22
351,3.0,81.0,3.0,1,0,0,3,23
138,2.5,84.0,2.0,1,0,0,3,0
81,2.0,87.0,2.0,2,0,0,3,1
54,2.0,87.0,2.0,3,0,0,3,2
37,2.0,87.0,5.5,4,0,0,3,3
39,2.0,87.0,5.0,3,0,0,3,4
89,2.0,87.0,5.0,3,0,0,3,5
512,2.0,84.0,2.0,3,0,0,3,6
1677,2.0,81.0,2.0,3,0,0,3,7
3828,2.0,81.0,5.0,3,0,0,3,8
1911,2.5,78.0,2.0,3,0,0,3,9
789,4.0,70.0,9.0,3,0,0,3,10
713,4.0,67.5,10.0,3,0,0,3,11
914,5.0,59.0,13.0,2,0,0,3,12
935,5.0,57.0,13.0,2,0,0,3,13
867,4.5,59.0,14.0,2,0,0,3,14
885,4.0,61.0,13.0,2,0,0,3,15
1328,4.0,63.0,12.0,3,0,0,3,16
2457,3.5,63.0,12.0,3,0,0,3,17
2422,3.0,65.0,9.0,3,0,0,3,18
1350,2.0,70.0,6.5,2,0,0,3,19
850,2.0,70.0,6.5,1,0,0,3,20
640,0.0,80.0,6.0,1,0,0,3,21
438,0.0,80.0,2.0,1,0,0,3,22
324,0.0,80.0,3.0,1,0,0,3,23
171,-0.5,86.5,5.5,1,0,0,3,0
96,-1.0,86.0,6.0,1,0,0,3,1
58,-1.0,86.0,6.0,4,0,0,3,2
41,-0.5,83.0,5.0,3,0,0,3,3
31,-1.0,86.0,5.0,3,0,0,3,4
80,-1.0,86.0,6.0,4,0,0,3,5
426,-1.5,89.5,5.0,1,0,0,3,6
1494,-1.0,86.0,6.5,1,0,0,3,7
3328,-0.5,83.0,7.0,1,0,0,3,8
1839,0.5,84.0,6.5,1,0,0,3,9
894,2.0,75.0,7.5,1,0,0,3,10
794,3.5,67.5,12.0,1,0,0,3,11
1084,4.5,65.5,16.5,1,0,0,3,12
1053,5.0,66.0,17.5,1,0,0,3,13
1005,5.0,66.0,19.5,1,0,0,3,14
1002,5.0,66.0,17.0,1,0,0,3,15
1421,4.0,75.0,12.0,1,0,0,3,16
2388,4.0,75.0,14.0,1,0,0,3,17
1946,4.5,78.5,14.0,2,0,0,3,18
1126,6.0,76.0,18.5,2,0,0,3,19
687,6.5,78.5,24.0,2,0,0,3,20
421,7.0,87.0,20.0,7,0,0,3,21
208,7.5,87.0,23.0,7,0,0,3,22
299,8.0,87.0,24.0,7,0,0,3,23
186,8.0,93.0,22.5,7,0,1,3,0
141,9.0,90.5,18.0,7,0,1,3,1
142,7.0,87.0,18.5,26,0,1,3,2
121,6.5,81.0,18.0,3,0,1,3,3
70,6.0,76.0,18.5,2,0,1,3,4
61,5.5,73.5,24.0,1,0,1,3,5
76,5.0,76.0,19.0,1,0,1,3,6
142,4.0,81.0,14.0,1,0,1,3,7
318,4.5,75.5,16.0,1,0,1,3,8
723,5.0,70.0,18.0,1,0,1,3,9
1086,5.5,68.0,24.0,1,0,1,3,10
1411,6.0,66.0,24.0,1,0,1,3,11
1636,6.0,61.0,24.0,1,0,1,3,12
1769,7.0,61.0,22.0,1,0,1,3,13
1796,7.0,61.0,20.0,2,0,1,3,14
1798,7.0,61.0,22.0,1,0,1,3,15
1597,6.5,63.5,17.0,1,0,1,3,16
1226,6.0,66.0,15.0,1,0,1,3,17
837,5.5,68.0,13.0,1,0,1,3,18
709,5.0,68.0,14.0,1,0,1,3,19
526,4.5,70.0,13.0,1,0,1,3,20
393,4.0,72.5,13.0,1,0,1,3,21
401,3.5,75.0,13.0,1,0,1,3,22
374,3.0,81.0,13.0,1,0,1,3,23
347,3.0,81.0,13.0,1,0,1,3,0
261,2.0,87.0,12.0,1,0,1,3,1
216,2.0,81.0,10.0,1,0,1,3,2
162,2.0,87.0,14.0,1,0,1,3,3
107,2.0,84.0,13.0,1,0,1,3,4
70,2.0,87.0,12.0,1,0,1,3,5
83,2.0,87.0,13.0,1,0,1,3,6
108,2.0,87.0,15.0,1,0,1,3,7
226,3.0,81.0,15.0,1,0,1,3,8
529,3.5,78.0,13.0,3,0,1,3,9
857,5.0,70.0,15.0,4,0,1,3,10
1195,6.5,68.5,13.0,4,0,1,3,11
1478,8.5,62.0,19.5,3,0,1,3,12
1705,8.0,66.0,18.0,3,0,1,3,13
1519,9.0,66.0,22.0,3,0,1,3,14
1477,8.0,71.0,21.0,3,0,1,3,15
1238,8.0,71.0,18.0,3,0,1,3,16
875,8.0,71.0,19.5,3,0,1,3,17
810,8.0,73.5,19.5,3,0,1,3,18
566,8.0,76.0,19.5,3,0,1,3,19
423,8.0,76.0,18.5,3,0,1,3,20
335,8.0,82.0,18.5,4,0,1,3,21
297,8.0,82.0,18.0,4,0,1,3,22
210,8.0,82.0,18.0,4,0,1,3,23
115,8.0,87.0,19.0,7,0,0,3,0
74,8.5,87.0,18.0,4,0,0,3,1
34,9.0,87.0,21.5,4,0,0,3,2
33,9.0,87.0,19.5,4,0,0,3,3
47,9.0,87.0,16.0,3,0,0,3,4
88,9.5,84.5,17.0,3,0,0,3,5
472,10.0,82.0,18.5,7,0,0,3,6
1619,10.0,88.0,18.5,3,0,0,3,7
3589,10.0,85.0,18.0,3,0,0,3,8
1844,10.5,85.0,19.5,3,0,0,3,9
603,10.0,85.0,16.5,7,0,0,3,10
621,10.0,71.5,23.0,3,0,0,3,11
841,10.0,62.5,24.0,2,0,0,3,12
884,9.0,64.0,19.5,3,0,0,3,13
796,9.0,60.0,22.0,2,0,0,3,14
904,8.0,62.0,23.0,2,0,0,3,15
1319,8.0,62.0,21.5,2,0,0,3,16
2723,8.0,62.0,19.0,2,0,0,3,17
2509,7.5,64.0,18.0,1,0,0,3,18
1457,7.0,66.0,20.0,1,0,0,3,19
941,7.0,66.0,17.0,1,0,0,3,20
550,6.5,68.5,17.0,1,0,0,3,21
433,6.0,76.0,14.0,1,0,0,3,22
214,6.0,76.0,15.0,1,0,0,3,23
133,5.5,76.0,14.0,1,0,0,3,0
69,5.0,78.5,15.0,1,0,0,3,1
30,5.0,76.0,14.0,1,0,0,3,2
33,5.0,76.0,12.0,1,0,0,3,3
43,5.0,76.0,12.0,1,0,0,3,4
88,5.5,78.5,13.0,1,0,0,3,5
571,6.0,76.0,12.0,1,0,0,3,6
1913,6.0,76.0,15.0,1,0,0,3,7
3835,5.5,78.5,15.0,1,0,0,3,8
1900,6.5,73.5,15.0,2,0,0,3,9
874,7.0,73.5,18.0,2,0,0,3,10
763,8.0,71.0,19.0,2,0,0,3,11
999,9.0,66.0,17.0,2,0,0,3,12
977,9.0,66.0,19.5,3,0,0,3,13
866,9.0,68.5,19.0,3,0,0,3,14
976,8.0,71.0,16.0,3,0,0,3,15
1346,8.0,71.0,11.0,3,0,0,3,16
2724,8.0,71.0,7.0,3,0,0,3,17
2750,8.0,71.0,11.0,3,0,0,3,18
1539,8.0,71.0,22.0,3,0,0,3,19
1001,8.0,64.0,19.5,3,0,0,3,20
